﻿﻿﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径
guildAnswer,ExaminationOption.csd,_optionText,我的的方法发生,,/Node1/_optionText,a7147f03fe05c15345961e771d30113a,guildAnswer/ExaminationOption.csd
guildAnswer,AnswerClientNotStart.csd,_tip2,请各位主公准时前往！,,/Node_6/_tip2,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientNotStart.csd,Text_11,月旦评时间,,/Node_6/Text_11,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientNotStart.csd,CountDownText,距离本军团月旦评开启时间：,,/Node_6/CountDownText,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientNotStart.csd,_timeDes1,上午,,/Node_6/node1/_timeDes1,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientNotStart.csd,_timeDes2,中午,,/Node_6/node2/_timeDes2,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientNotStart.csd,_timeDes3,晚上,,/Node_6/node3/_timeDes3,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd
guildAnswer,AnswerClientEnd.csd,_textTimeDesc,军团答题开启倒计时：,editor.guildAnswer.1,/Node_5/_textTimeDesc,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd
guildAnswer,AnswerClientEnd.csd,_alreadyOpenDesc,今日军团答题已经开启了！请主公明日再来,editor.guildAnswer.2,/Node_5/_alreadyOpenDesc,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd
guildAnswer,AnswerClientEnd.csd,TextTalk,文武兼修，方成大事！,,/Node_5/Image_8/TextTalk,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd
guildAnswer,RankListViewCell.csd,_textName,安迪胡迪,,/_resourceNode/_textName,bc90a567ee7926a3e5475ade0c163997,guildAnswer/RankListViewCell.csd
guildAnswer,AnswerClientStart.csd,_questionIndexText,第1题：,,/Node_5/_questionIndexText,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd
guildAnswer,AnswerClientStart.csd,_questionContent,本军团gfgdgdgddgdgd,,/Node_5/_questionContent,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd
guildAnswer,AnswerClientStart.csd,_awardTimeLabel,结算中,editor.guildAnswer.3,/Node_5/Image_281/_awardTimeLabel,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd
guildAnswer,AnswerClientStart.csd,Text_4_0,秒,editor.guildAnswer.4,/Node_5/Image_281/_countDownParentNode/Text_4_0,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd
guildAnswer,GuildAnswerView.csd,Text_45,积分越高，奖励越丰富！,editor.guildAnswer.5,/Panel_1/Text_45,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,_rankTitle,报名军团,editor.guildAnswer.6,/Panel_1/_rankTitle,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleCount,名次,editor.guildAnswer.7,/Panel_1/TopNode/_rankTopGuild/titleCount,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleName,军团,editor.guildAnswer.8,/Panel_1/TopNode/_rankTopGuild/titleName,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleChapter,积分,editor.guildAnswer.9,/Panel_1/TopNode/_rankTopGuild/titleChapter,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleCount,名次,editor.guildAnswer.7,/Panel_1/TopNode/_rankTopPerson/titleCount,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleName,成员,editor.guildAnswer.10,/Panel_1/TopNode/_rankTopPerson/titleName,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
guildAnswer,GuildAnswerView.csd,titleChapter,积分,editor.guildAnswer.9,/Panel_1/TopNode/_rankTopPerson/titleChapter,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd
carnivalActivity,PopupCarnivalActivity.csd,_countdownText,活动开始时间,,/_resourceNode/_countdownText,3cd3eccf8001369a099713d6f1b0e3f8,carnivalActivity/PopupCarnivalActivity.csd
carnivalActivity,CarnivalActivityTab.csd,Text_desc,登陆豪礼,,/ScrollViewTab/CommonTabGroup/Panel_tab/Text_desc,8f01469ed4795db7e947f8c0ffec6e72,carnivalActivity/CarnivalActivityTab.csd
carnivalActivity,CarnivalActivitySingleRechargeItemCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,f832a3e7d0f923dd465aa8f6d1f8216a,carnivalActivity/CarnivalActivitySingleRechargeItemCell.csd
carnivalActivity,CarnivalActivityIntroTitleNode.csd,Text,宗清一下,,/_resourceNode/Text,a94ca60b958c4239a04412b3d8294a1a,carnivalActivity/CarnivalActivityIntroTitleNode.csd
carnivalActivity,CarnivalActivityRechargeTaskItemCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,68cf05671ede133f8ffab951a9021677,carnivalActivity/CarnivalActivityRechargeTaskItemCell.csd
carnivalActivity,CarnivalActivityExchangeCell.csd,_textTaskDes,限时元宝兑换,,/_resourceNode/_textTaskDes,df681d9b02275d88a4b81f05da6ac8d6,carnivalActivity/CarnivalActivityExchangeCell.csd
carnivalActivity,CarnivalActivityExchangeCell.csd,_textDiscount,5.5折,,/_resourceNode/_imageDiscount/_textDiscount,df681d9b02275d88a4b81f05da6ac8d6,carnivalActivity/CarnivalActivityExchangeCell.csd
carnivalActivity,CarnivalActivityTaskCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,1ce2af28224d1dc7af5f673420c61038,carnivalActivity/CarnivalActivityTaskCell.csd
sell,SelectQualityNode.csd,_selectTitle,蓝色品质,,/node1/_selectTitle,6d35bcffc939f0647f7c92bbc3495455,sell/SelectQualityNode.csd
sell,PopupSellFragment.csd,des2Title,出售获得：,editor.sell.1,/Panel_27/des2Title,ff8c0ca638cc9491fef58d9a6d835e82,sell/PopupSellFragment.csd
sell,PopupSellFragment.csd,des1Title,已选数量：,editor.sell.2,/Panel_27/des1Title,ff8c0ca638cc9491fef58d9a6d835e82,sell/PopupSellFragment.csd
