﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径,无效,无引用
historyhero,HistoryHeroBookItemCell.csd,_textBookName,左右互搏,,/_resourceNode/_textBookName,0a586653b798cc98fceee81672e82c84,historyhero/HistoryHeroBookItemCell.csd,1,
historyhero,HistoryHeroTrainBreakLayer.csd,_static_historyhero_break_des,点击添加道具可进行突破,,/_resource/_static_historyhero_break_des,3f5f534b4bb591474fa87fe1b8705b3b,historyhero/HistoryHeroTrainBreakLayer.csd,,
historyhero,HistoryHeroDetaillLayer.csd,_textName,神器觉醒,,/_textName,61bc5daff9f87403ec61de7bdb12f6d6,historyhero/HistoryHeroDetaillLayer.csd,1,
historyhero,HistoryHeroDetaillLayer.csd,_textRightLantern,"强
化",,/_nodeLantern2/_textRightLantern,61bc5daff9f87403ec61de7bdb12f6d6,historyhero/HistoryHeroDetaillLayer.csd,1,
historyhero,HistoryHeroMainView.csd,_static_historyhero_book,"图
鉴",,/_panelDesign/_nodeLantern1/_static_historyhero_book,ea007831c658e6faa2eef203de9309d5,historyhero/HistoryHeroMainView.csd,,
historyhero,HistoryHeroBookView.csd,_static_historyhero_book_des,属性加成对所有上阵武将有效,editor.pet.9,/_panelDesign/_static_historyhero_book_des,a95cb6d69a1e1729b95035c0338fa56c,historyhero/HistoryHeroBookView.csd,,
historyhero,PopupHistoryHeroDetail.csd,_textHeroName,名字,,/Panel_root/_textHeroName,baa160d997fc13ec7b40c85478fe52a0,historyhero/PopupHistoryHeroDetail.csd,1,
historyhero,PopupHistoryHeroDetail.csd,_hasText,已拥有,editor.horse.3,/Panel_root/_hasText,baa160d997fc13ec7b40c85478fe52a0,historyhero/PopupHistoryHeroDetail.csd,,
historyhero,PopupHistoryHeroDetail.csd,_textTitle,详情,editor.silkbag.3,/Panel_root/Image_bg_all/Image_1/_textTitle,baa160d997fc13ec7b40c85478fe52a0,historyhero/PopupHistoryHeroDetail.csd,,
historyhero,HistoryHeroView.csd,_textbook,"图
鉴",,/_panelBottom/_nodeLanternLeft/_textbook,a98f6a6a9219bfcdd2662b9f4b3e9da9,historyhero/HistoryHeroView.csd,1,
historyhero,HistoryHeroPosItemCell.csd,_textPos,一号位,editor.seasonCompetitive.2,/_resourceNode/_textPos,e60f8ca59b38b05e10a2bad3effa6651,historyhero/HistoryHeroPosItemCell.csd,1,
historyhero,HistoryHeroPosItemCell.csd,Text_84,85级,,/_resourceNode/_nodeLock/Text_84,e60f8ca59b38b05e10a2bad3effa6651,historyhero/HistoryHeroPosItemCell.csd,1,
historyhero,HistoryHeroTrainAwakeLayer.csd,_static_historyhero_awake_des,点击添加神器可觉醒名将,,/_resource/_static_historyhero_awake_des,3a258a4ddf1f96a35a0268d3bbe877ee,historyhero/HistoryHeroTrainAwakeLayer.csd,,
historyhero,HistoricalItemCell.csd,_textDes1,"激活7条羁绊
激活合击大招",,/_resourceNode/_item1/_textDes1,46279f519be56e32970ebcb54be58547,historyhero/HistoricalItemCell.csd,1,
historyhero,HistoricalItemCell.csd,_textDes2,"激活7条羁绊
激活合击大招",,/_resourceNode/_item2/_textDes2,46279f519be56e32970ebcb54be58547,historyhero/HistoricalItemCell.csd,1,
carnivalActivity,CarnivalActivityIntroLayer.csd,_countdownText,活动开始时间:,,/ResourceNode/_otherClient/_countdownText,7fe63d05483ae3655f832959a2dea4c7,carnivalActivity/CarnivalActivityIntroLayer.csd,,
playerDetail,PopupPlayerHonorTitleCell.csd,_titleDesc,敌方武将,,/_resourceNode/_titleDesc,ce43440684f86ddba419393d80941750,playerDetail/PopupPlayerHonorTitleCell.csd,1,
