﻿"﻿﻿文件夹",文件名,控件名,控件文本,Key,控件路径,md5,文件路径,无效,无引用
achievement,DailyMissionActiviyValue.csd,tip,每天凌晨4点重置,,/tip,17151dc4dc57faa98569fe1bd4531b32,achievement/DailyMissionActiviyValue.csd,,
achievement,DailyMissionActiviyValue.csd,TextName,今日活跃度,,/_panelCon/TextName,17151dc4dc57faa98569fe1bd4531b32,achievement/DailyMissionActiviyValue.csd,,
cakeActivity,CakeRankNode.csd,TextLevelTitle,蛋糕等级,editor.cakeActivity.3,/NodeGuild/ImageBgGuild/TextLevelTitle,34debca32364bc9f3025dcfa2c2d17cd,cakeActivity/CakeRankNode.csd,1,
campRace,CampRaceSignin.csd,TextName,名字是七个字好,,/_panelDesign/_nodeWinner/_nodeWinner1/TextName,9971a6695b16ff82286216a001afd0f8,campRace/CampRaceSignin.csd,1,
campRace,CampRaceSignin.csd,TextName,名字是七个字好,,/_panelDesign/_nodeWinner/_nodeWinner2/TextName,9971a6695b16ff82286216a001afd0f8,campRace/CampRaceSignin.csd,1,
campRace,CampRaceSignin.csd,TextName,名字是七个字好,,/_panelDesign/_nodeWinner/_nodeWinner3/TextName,9971a6695b16ff82286216a001afd0f8,campRace/CampRaceSignin.csd,1,
campRace,CampRaceSignin.csd,TextName,名字是七个字好,,/_panelDesign/_nodeWinner/_nodeWinner4/TextName,9971a6695b16ff82286216a001afd0f8,campRace/CampRaceSignin.csd,1,
carnivalActivity,PopupCarnivalActivity.csd,_tips,适度游戏，理性消费,editor.vip.6,/_resourceNode/_resourceNode1/_tips,a19da428ec4625477adc548f274d7ff5,carnivalActivity/PopupCarnivalActivity.csd,,
chat,ChatMainView.csd,Text_system,周四19:30-22:00开启,,/_panelTouch/_panelRoot/_nodeHint7/Image_style1/Text_system,423df6ed93bbb5d80be73a55be6816cd,chat/ChatMainView.csd,,
common,CommonShopItemCell.csd,Text_button_desc_1,今日可买10次,,/Image_1/Text_button_desc_1,770061829030dd22648fba3de56a6ccf,common/CommonShopItemCell.csd,1,
common,CommonShopItemCell.csd,Text_button_desc_2,今日可买10次,,/Image_1/Text_button_desc_2,770061829030dd22648fba3de56a6ccf,common/CommonShopItemCell.csd,1,
