﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径
achievement,AchievementItemCell.csd,_textItemName,武将招募,,/_resourceNode/_textItemName,a4f8bf26091ae5a3737426dd815df9c6,achievement/AchievementItemCell.csd
achievement,AchievementItemCell.csd,_textDesc,(曹仁，曹操，曹植，同时上阵）,,/_resourceNode/_textDesc,a4f8bf26091ae5a3737426dd815df9c6,achievement/AchievementItemCell.csd
achievement,AchievementItemCell.csd,Text_ResName,奖励：,editor.achievement.1,/_resourceNode/Node_reward/Text_ResName,a4f8bf26091ae5a3737426dd815df9c6,achievement/AchievementItemCell.csd
achievement,AchievementItemCell.csd,Text_ResName_0,活跃：,editor.achievement.2,/_resourceNode/Node_daily/Text_ResName_0,a4f8bf26091ae5a3737426dd815df9c6,achievement/AchievementItemCell.csd
achievement,DailyActivityHint.csd,activityAwardLabel_0,活动描述：,editor.achievement.4,/Panel/activityAwardLabel_0,f3d68fc86bbced00a042a124e07bfbc9,achievement/DailyActivityHint.csd
achievement,DailyActivityHint.csd,activityAwardLabel,活动奖励：,editor.achievement.5,/Panel/activityAwardLabel,f3d68fc86bbced00a042a124e07bfbc9,achievement/DailyActivityHint.csd
achievement,DailyActivityHintCell.csd,_openTime1,12:00开启asdasdfsdfs,,/_resourceNode/Node_7/_openTime1,30045439c29f6bc67ac8d7d462341d00,achievement/DailyActivityHintCell.csd
achievement,DailyActivityHintCell.csd,_openTime2,开启,,/_resourceNode/Node_7/_openTime2,30045439c29f6bc67ac8d7d462341d00,achievement/DailyActivityHintCell.csd
achievement,DailyActivityHintCell.csd,_title,先秦皇陵,,/_resourceNode/Node_7/_title,30045439c29f6bc67ac8d7d462341d00,achievement/DailyActivityHintCell.csd
achievement,DailyMissionActiviyValue.csd,tip,每天凌晨4点重置,editor.achievement.6,/tip,17151dc4dc57faa98569fe1bd4531b32,achievement/DailyMissionActiviyValue.csd,,
achievement,DailyMissionActiviyValue.csd,TextName,今日活跃度,editor.achievement.7,/_panelCon/TextName,17151dc4dc57faa98569fe1bd4531b32,achievement/DailyMissionActiviyValue.csd,,
betaAppointment,BetaAppointmentView.csd,Text_1,1.预约后立即获得：,editor.betaAppointment.1,/_resourceNode/node1/Text_1,9cc49b2d253e2d2703d76dfa93b3cd0e,activity/betaAppointment/BetaAppointmentView.csd
betaAppointment,BetaAppointmentView.csd,Text_1,2.使用手机号码预约，公测前可通过短信方式获取专属礼包码：,editor.betaAppointment.2,/_resourceNode/node2/Text_1,9cc49b2d253e2d2703d76dfa93b3cd0e,activity/betaAppointment/BetaAppointmentView.csd
