﻿﻿﻿﻿文件夹,文件名,控件名,控件文本,Key,控件路径,md5,文件路径,无效,无引用
guildAnswer,ExaminationOption.csd,_optionText,我的的方法发生,,/Node1/_optionText,a7147f03fe05c15345961e771d30113a,guildAnswer/ExaminationOption.csd,1,
guildAnswer,AnswerClientNotStart.csd,_tip2,请各位主公准时前往！,,/Node_6/_tip2,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientNotStart.csd,Text_11,月旦评时间,,/Node_6/Text_11,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientNotStart.csd,CountDownText,距离本军团月旦评开启时间：,,/Node_6/CountDownText,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientNotStart.csd,_timeDes1,上午,,/Node_6/node1/_timeDes1,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientNotStart.csd,_timeDes2,中午,,/Node_6/node2/_timeDes2,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientNotStart.csd,_timeDes3,晚上,,/Node_6/node3/_timeDes3,3166c04072939c38d77ce32bcb17de4e,guildAnswer/AnswerClientNotStart.csd,1,3
guildAnswer,AnswerClientEnd.csd,_textTimeDesc,军团答题开启倒计时：,,/Node_5/_textTimeDesc,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd,,
guildAnswer,AnswerClientEnd.csd,_alreadyOpenDesc,今日军团答题已经开启了！请主公明日再来,,/Node_5/_alreadyOpenDesc,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd,,
guildAnswer,AnswerClientEnd.csd,TextTalk,文武兼修，方成大事！,,/Node_5/Image_8/TextTalk,450b88ee62747a75bf407d081bdfe4fe,guildAnswer/AnswerClientEnd.csd,1,
guildAnswer,RankListViewCell.csd,_textName,安迪胡迪,,/_resourceNode/_textName,bc90a567ee7926a3e5475ade0c163997,guildAnswer/RankListViewCell.csd,1,
guildAnswer,AnswerClientStart.csd,_questionIndexText,第1题：,,/Node_5/_questionIndexText,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd,1,
guildAnswer,AnswerClientStart.csd,_questionContent,本军团gfgdgdgddgdgd,,/Node_5/_questionContent,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd,1,
guildAnswer,AnswerClientStart.csd,_awardTimeLabel,结算中,,/Node_5/Image_281/_awardTimeLabel,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd,,
guildAnswer,AnswerClientStart.csd,Text_4_0,秒,,/Node_5/Image_281/_countDownParentNode/Text_4_0,6b160ef028f768e5ab25d65ce29de525,guildAnswer/AnswerClientStart.csd,,
guildAnswer,GuildAnswerView.csd,Text_45,积分越高，奖励越丰富！,,/Panel_1/Text_45,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,_rankTitle,报名军团,,/Panel_1/_rankTitle,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleCount,名次,,/Panel_1/TopNode/_rankTopGuild/titleCount,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleName,军团,,/Panel_1/TopNode/_rankTopGuild/titleName,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleChapter,积分,,/Panel_1/TopNode/_rankTopGuild/titleChapter,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleCount,名次,,/Panel_1/TopNode/_rankTopPerson/titleCount,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleName,成员,,/Panel_1/TopNode/_rankTopPerson/titleName,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
guildAnswer,GuildAnswerView.csd,titleChapter,积分,,/Panel_1/TopNode/_rankTopPerson/titleChapter,cb4ec42fd919119d3c49b1268eff7b6c,guildAnswer/GuildAnswerView.csd,,
carnivalActivity,PopupCarnivalActivity.csd,_countdownText,活动开始时间,,/_resourceNode/_countdownText,3cd3eccf8001369a099713d6f1b0e3f8,carnivalActivity/PopupCarnivalActivity.csd,1,
carnivalActivity,CarnivalActivityTab.csd,Text_desc,登陆豪礼,,/ScrollViewTab/CommonTabGroup/Panel_tab/Text_desc,8f01469ed4795db7e947f8c0ffec6e72,carnivalActivity/CarnivalActivityTab.csd,1,
carnivalActivity,CarnivalActivitySingleRechargeItemCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,f832a3e7d0f923dd465aa8f6d1f8216a,carnivalActivity/CarnivalActivitySingleRechargeItemCell.csd,1,
carnivalActivity,CarnivalActivityIntroTitleNode.csd,Text,宗清一下,,/_resourceNode/Text,a94ca60b958c4239a04412b3d8294a1a,carnivalActivity/CarnivalActivityIntroTitleNode.csd,1,
carnivalActivity,CarnivalActivityRechargeTaskItemCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,68cf05671ede133f8ffab951a9021677,carnivalActivity/CarnivalActivityRechargeTaskItemCell.csd,1,
carnivalActivity,CarnivalActivityExchangeCell.csd,_textTaskDes,限时元宝兑换,,/_resourceNode/_textTaskDes,df681d9b02275d88a4b81f05da6ac8d6,carnivalActivity/CarnivalActivityExchangeCell.csd,1,
carnivalActivity,CarnivalActivityExchangeCell.csd,_textDiscount,5.5折,,/_resourceNode/_imageDiscount/_textDiscount,df681d9b02275d88a4b81f05da6ac8d6,carnivalActivity/CarnivalActivityExchangeCell.csd,1,
carnivalActivity,CarnivalActivityTaskCell.csd,_textTaskDes,活动期间累计充值,,/_resourceNode/_textTaskDes,1ce2af28224d1dc7af5f673420c61038,carnivalActivity/CarnivalActivityTaskCell.csd,1,
sell,SelectQualityNode.csd,_selectTitle,蓝色品质,,/node1/_selectTitle,6d35bcffc939f0647f7c92bbc3495455,sell/SelectQualityNode.csd,1,
sell,PopupSellFragment.csd,des2Title,出售获得：,,/Panel_27/des2Title,ff8c0ca638cc9491fef58d9a6d835e82,sell/PopupSellFragment.csd,,
sell,PopupSellFragment.csd,des1Title,已选数量：,,/Panel_27/des1Title,ff8c0ca638cc9491fef58d9a6d835e82,sell/PopupSellFragment.csd,,
sell,PopupSellFragmentCell.csd,des2Title1,出售获得：,,/_resourceNode/_item1/_line21/des2Title1,c80dd4958f3d5ba38aa524d0a06bccd3,sell/PopupSellFragmentCell.csd,,
sell,PopupSellFragmentCell.csd,des2Title2,出售获得：,,/_resourceNode/_item2/_line22/des2Title2,c80dd4958f3d5ba38aa524d0a06bccd3,sell/PopupSellFragmentCell.csd,,
fight,PopupStatisticsCell.csd,name,玩家名称真的长+3,,/_panelBase/_panel1/name,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel1/PanelFeature/FeatureBG1/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel1/PanelFeature/FeatureBG1/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel1/PanelFeature/FeatureBG2/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel1/PanelFeature/FeatureBG2/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel1/PanelFeature/FeatureBG3/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel1/PanelFeature/FeatureBG3/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,name,玩家名称真的长+3,,/_panelBase/_panel2/name,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel2/PanelFeature/FeatureBG3/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel2/PanelFeature/FeatureBG3/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel2/PanelFeature/FeatureBG2/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel2/PanelFeature/FeatureBG2/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextFeature,晕眩,,/_panelBase/_panel2/PanelFeature/FeatureBG1/TextFeature,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,PopupStatisticsCell.csd,TextCount,人,,/_panelBase/_panel2/PanelFeature/FeatureBG1/TextCount,58e59d25b05bd65c50d52d3e5a567123,fight/PopupStatisticsCell.csd,1,
fight,FightUIOld.csd,_textRound,回合：1/10,,/_panelFight/_textRound,0d080754946372319e6a0fc4dd955e83,fight/FightUIOld.csd,1,
fight,FightUI.csd,Round,回合：,,/_nodeRight/Round,8b2f69a52b2a28f7724417d2b076d456,fight/FightUI.csd,,
seasonShop,SeasonShopView.csd,_textTitle,道  具,,/Node_Mid/_textTitle,3c6c7c3097f167e45ebb24b2eae868f7,seasonShop/SeasonShopView.csd,1,
friend,PopupFriendApply.csd,Text_6_0,玩家昵称,,/_resourceNode/_imageRoot/Text_6_0,b1cd1a9c0cdd96a70f288e4b444cbeae,friend/PopupFriendApply.csd,,
friend,PopupFriendApply.csd,Text_6_1,等级,,/_resourceNode/_imageRoot/Text_6_1,b1cd1a9c0cdd96a70f288e4b444cbeae,friend/PopupFriendApply.csd,,
friend,PopupFriendApply.csd,Text_6_2,战力,,/_resourceNode/_imageRoot/Text_6_2,b1cd1a9c0cdd96a70f288e4b444cbeae,friend/PopupFriendApply.csd,,
friend,PopupFriendApply.csd,Text_6_2_3,军团,,/_resourceNode/_imageRoot/Text_6_2_3,b1cd1a9c0cdd96a70f288e4b444cbeae,friend/PopupFriendApply.csd,,
