﻿"﻿﻿﻿文件夹",文件名,控件名,控件文本,Key,控件路径,md5,文件路径,无效,无引用
superCheckin,SuperCheckinView.csd,Text_1,已领取,,/_resourceNode/_alreadyGet/Text_1,33432f20cedcf981d0110e39129382e4,activity/superCheckin/SuperCheckinView.csd,,
bout,BoutConsumeModule.csd,_needOfficial1,"官衔达到 ",,/_panelOffcial/_needOfficial1,259269b5b704e4345e80786ef4ad2768,bout/BoutConsumeModule.csd,,
bout,BoutConsumeModule.csd,_needOfficial2,可演练,,/_panelOffcial/_needOfficial2,259269b5b704e4345e80786ef4ad2768,bout/BoutConsumeModule.csd,,
bout,PopupAttrOverView.csd,Text_18,当前已演练阵法:,,/Panel_Content/Text_18,983825ce03505057e5f6fea330e0f42b,bout/PopupAttrOverView.csd,,
bout,PopupAttrOverView.csd,Text_18_0,"阵法总属性加成
",,/Panel_Content/Text_18_0,983825ce03505057e5f6fea330e0f42b,bout/PopupAttrOverView.csd,,
cakeActivity,PopupCakeDailyAward.csd,Text_1,活动期间每天登陆游戏即可领取丰厚奖励!,editor.cakeActivity.8,/Image_1/Text_1,4d8d6bed3cfeb40ed807b0da7e36b1a8,cakeActivity/PopupCakeDailyAward.csd,,
cakeActivity,PopupCakeLevelAward.csd,Text_6_0,奖励,editor.arena.5,/_nodeBg/ImageRoot/Text_6_0,71d576b2a74ae4e644f87cd46aa2c027,cakeActivity/PopupCakeLevelAward.csd,,
cakeActivity,PopupCakeLevelAward.csd,Text_6_1,等级,editor.friend.2,/_nodeBg/ImageRoot/Text_6_1,71d576b2a74ae4e644f87cd46aa2c027,cakeActivity/PopupCakeLevelAward.csd,,
cakeActivity,PopupCakeLevelAward.csd,Text_6_2,领取,editor.cakeActivity.9,/_nodeBg/ImageRoot/Text_6_2,71d576b2a74ae4e644f87cd46aa2c027,cakeActivity/PopupCakeLevelAward.csd,,
carnivalActivity,CarnivalActivitySingleRechargeItemCell.csd,_textDiscount,5.5折,,/_resourceNode/_imageDiscount/_textDiscount,ffed665ac6d7ba72e42ea636a02bd666,carnivalActivity/CarnivalActivitySingleRechargeItemCell.csd,1,
chat,PopupChatSetting.csd,Text_desc,跨服,,/_resourceNode/Node_check1_4/Text_desc,b888cf4b86d5673c75f5b07aaa8c1524,chat/PopupChatSetting.csd,,
chat,PopupChatSetting.csd,Text_desc,跨服,,/_resourceNode/Node_check1_5/Text_desc,b888cf4b86d5673c75f5b07aaa8c1524,chat/PopupChatSetting.csd,,
common,CommonAwardTip.csd,TextRes,石砚台,editor.exploreMap.6,/TextRes,c469065d35a4add12c70be6aaa70b719,common/CommonAwardTip.csd,,
common,CommonButtonAuction.csd,Text,中按钮,editor.common.10,/Text,8a1a6f0f9bd1a358458e89594a4563f1,common/CommonButtonAuction.csd,,
common,CommonHistoryWeaponProperty.csd,Name2,界·孙子兵法,,/Name2,619ea53d5be093d7ca3f880116c181eb,common/CommonHistoryWeaponProperty.csd,1,
common,CommonListCellBase2.csd,TextName,名字+7,,/Panel/TextName,019c4b1c3df96b43405efb603005a744,common/CommonListCellBase2.csd,1,
common,CommonNormalMiniPop5.csd,Text_title,阵法加成,,/Image_bg_all/Text_title,097acd4f590f4fb6157acaa3c686c843,common/CommonNormalMiniPop5.csd,1,
common,CommonShopItemCell2.csd,Text_item_times,(限购5次),,/Image_1/Text_item_times,d8321010eea3e256c70348a54346500b,common/CommonShopItemCell2.csd,1,
common,CommonSynthesisIcon.csd,TextName,经验500,,/TextName,ae0dd6d44b300523ed5090ba5f75178e,common/CommonSynthesisIcon.csd,1,
common,CommonTabGroupHorizon5.csd,Text_desc,二级页签,,/Panel_tab/Text_desc,f98de907a66df0b8fa548dab19d34180,common/CommonTabGroupHorizon5.csd,1,
common,CommonTabGroupHorizon7.csd,Text_desc,页签,,/Panel_tab/Text_desc,07a751dcd415ead8c0f8d69f58a40e9a,common/CommonTabGroupHorizon7.csd,1,
common,CommonTabGroupHorizon8.csd,Text_desc,页签,,/Panel_tab/Text_desc,c8d8cce061e6c94ae4bcc4a91750553d,common/CommonTabGroupHorizon8.csd,1,
common,CommonTabGroupHorizon9.csd,Text_desc,二级页签,,/Panel_tab/Text_desc,b5d0364fd60cad651f1b8801dcc625b2,common/CommonTabGroupHorizon9.csd,1,
common,CommonTabIcon2_2.csd,Text_desc,"情
报",,/Text_desc,077995f1ad19aee4cc9eb2c48fec537d,common/CommonTabIcon2_2.csd,1,
common,PopupCheckHeroTactics.csd,_txtHeroTip,已选择武将：,,/Image_402/_imgBottom/_txtHeroTip,ccd8dea513f56ced87d2d46ca5c1a749,common/PopupCheckHeroTactics.csd,1,
common,PopupCheckHeroTactics.csd,_txtProficiencyTip,提升熟练度：,,/Image_402/_imgBottom/_txtProficiencyTip,ccd8dea513f56ced87d2d46ca5c1a749,common/PopupCheckHeroTactics.csd,1,
common,PopupChooseTacticsCell.csd,_textHeroName1,名字,editor.horse.4,/_resourceNode/_item1/_textHeroName1,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupChooseTacticsCell.csd,_txtTip1,解锁,,/_resourceNode/_item1/_txtTip1,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupChooseTacticsCell.csd,_textHeroName2,名字,editor.horse.4,/_resourceNode/_item2/_textHeroName2,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupChooseTacticsCell.csd,_txtTip2,解锁,,/_resourceNode/_item2/_txtTip2,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupChooseTacticsCell.csd,_textHeroName3,名字,editor.horse.4,/_resourceNode/_item3/_textHeroName3,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupChooseTacticsCell.csd,_txtTip3,解锁,,/_resourceNode/_item3/_txtTip3,4f89afd70819ef70fb30d0195497c94b,common/PopupChooseTacticsCell.csd,1,
common,PopupHistoryHeroUseWeapon.csd,_tip,当前道具需求未满足，无法添加,,/_commonNodeBk/_tip,3104e3263816b9ba6b95059c0604e4d6,common/PopupHistoryHeroUseWeapon.csd,1,
common,PopupHistoryHeroUseWeapon.csd,_heroName,秦始皇,,/_commonNodeBk/Panel_1/_nodeHero/_heroName,3104e3263816b9ba6b95059c0604e4d6,common/PopupHistoryHeroUseWeapon.csd,1,
common,PopupHistoryHeroUseWeapon.csd,_weaponName,秦始皇,,/_commonNodeBk/Panel_1/_nodeWeapon/_weaponName,3104e3263816b9ba6b95059c0604e4d6,common/PopupHistoryHeroUseWeapon.csd,1,
common,PopupNextFunctionPopInfoNode.csd,_name,竞技场,,/_name,287ca7e8fec6ee1f47c3557ac911bbfb,common/PopupNextFunctionPopInfoNode.csd,1,
common,PopupNextFunctionPopInfoNode.csd,_label1,16级,,/_label1,287ca7e8fec6ee1f47c3557ac911bbfb,common/PopupNextFunctionPopInfoNode.csd,1,
common,PopupNextFunctionPopInfoNode.csd,_label2,16级即可解锁,,/_label2,287ca7e8fec6ee1f47c3557ac911bbfb,common/PopupNextFunctionPopInfoNode.csd,1,
common,PopupTacticsDetail.csd,_textName,名字,editor.horse.4,/_panelBg/_textName,8f2b2a6ee18cb56d9578febb38ffac23,common/PopupTacticsDetail.csd,1,
common,PopupTacticsPositionUnlockInfo.csd,_txt1,达到如下条件可以解锁此战法位：,,/Panel_bk/_panelContent/_txt1,47de21c866d88a19ae0006e8e1292858,common/PopupTacticsPositionUnlockInfo.csd,,
common,PopupTacticsPositionUnlockInfo.csd,_txt2,1. 玩家达到95级,,/Panel_bk/_panelContent/_txt2,47de21c866d88a19ae0006e8e1292858,common/PopupTacticsPositionUnlockInfo.csd,1,
common,PopupTacticsPositionUnlockInfo.csd,_txt3,2. 消耗任意2个红色品质武将,,/Panel_bk/_panelContent/_txt3,47de21c866d88a19ae0006e8e1292858,common/PopupTacticsPositionUnlockInfo.csd,1,
common,UserDetailHeroNode.csd,_textYuanFenDes9,瞎子摸象,,/Panel1/PanelAttr/_scAttr/_panelKarma/Panel_9/_textYuanFenDes9,8a080321005a970e6f338140ba91827c,common/UserDetailHeroNode.csd,1,
common,UserDetailHeroNode.csd,_textYuanFenDes10,瞎子摸象,,/Panel1/PanelAttr/_scAttr/_panelKarma/Panel_10/_textYuanFenDes10,8a080321005a970e6f338140ba91827c,common/UserDetailHeroNode.csd,1,
crossworldboss,CrossWorldBossAvatarNode.csd,_weekLeftTime,22秒,,/Node_platform/_nodeWeekCount/_weekLeftTime,a9c95866c2b953b931a4781532c95eda,crossworldboss/CrossWorldBossAvatarNode.csd,1,
